model,params_B,family,self_bleu,rouge_l,jaccard,tfidf_cosine,unique_ngram_ratio,embedding_cosine,semantic_entropy,vendi_score,template_adherence,response_length_cv,key_point_consistency,confidence_consistency,timeline_consistency,stochasticity_index
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,0.4927700756711285,0.35434768468874683,0.32077516362613456,0.3890258060426405,0.7088602487850103,0.8955070558921987,0.04987863424446606,0.04093800010991512,0.9674999999999999,0.24308761836182208,0.20560656931651589,0.8319754041967664,0.7348809523809523,0.3413904136472657
meta-llama/Llama-3.2-1B-Instruct,1.0,llama3,0.5974143936612633,0.37443733839183435,0.3542876872604589,0.5518063768232464,0.5874703463245996,0.8921621417662292,0.044931720151025756,0.042523356598623184,0.6975,0.24430183390755777,0.26425967648571475,0.968952922077922,0.8464618714618715,0.30885148400232787
Qwen/Qwen2.5-1.5B-Instruct,1.5,qwen2.5,0.5190173045437041,0.38049529265939297,0.34424930809550525,0.38907386724648096,0.6903954087974398,0.9115549852888728,0.01579425693172272,0.03390792549266535,0.9974999999999999,0.1414137760333361,0.21865557462873975,0.975,0.6133040935672515,0.3169908997484696
google/gemma-2-2b-it,2.0,gemma2,0.6269354017952649,0.4133883615765668,0.3880264802634064,0.6087558530561592,0.5895755302915615,0.923751189859022,0.0,0.0295269169738022,0.9899999999999999,0.09123890071773981,0.312807206994441,0.9097660818713449,0.6231432748538012,0.2688034082753019
meta-llama/Llama-3.2-3B-Instruct,3.0,llama3,0.6986049483105746,0.48493456726314593,0.42650881607377045,0.5803409004694151,0.5099926940790763,0.9205017403995935,0.013681789620092403,0.029399510259731608,0.48250000000000004,0.14895369096690858,0.2914650351880801,0.9624875124875125,0.8878728216228217,0.27129216058529293
Qwen/Qwen2.5-3B-Instruct,3.0,qwen2.5,0.5410232996783064,0.36126437860687893,0.3416790189724884,0.4701903794656296,0.6753814352373586,0.9145461244414017,0.006626601619188213,0.033521553290590575,1.0,0.12543032062365903,0.22315940809141735,0.7050000000000001,0.7675,0.3115400049248081
microsoft/Phi-3.5-mini-instruct,3.8,phi3,,,,,,,,,,,,,,
Qwen/Qwen2.5-7B-Instruct,7.0,qwen2.5,0.6358226500394544,0.4328679659248126,0.3890432183087412,0.5156293395575567,0.5856666935509269,0.9192780669575908,0.014798619771311838,0.030432934854070098,0.9949999999999999,0.13636731577133115,0.2636441645245907,0.9824999999999999,0.8347222222222221,0.26998233030583757
meta-llama/Llama-3.1-8B-Instruct,8.0,llama3,0.690056221335673,0.46601141699156756,0.41163264978588254,0.5963484953504103,0.5124027611311135,0.9126018825022134,0.011232840680566358,0.03322963721738029,1.0,0.12471004148389364,0.3099944225221599,0.9550000000000001,0.93,0.24465357924016223
google/gemma-2-9b-it,9.0,gemma2,0.8046503952120323,0.5385570395236441,0.4776298562007879,0.6402506005553648,0.3957890572694801,0.940453955518473,0.0033133008095941065,0.022258447983836742,0.97,0.09041567530989529,0.3596950614972344,0.8967251461988305,0.9815789473684211,0.20447070593615177
Qwen/Qwen2.5-14B-Instruct,14.0,qwen2.5,0.598338751770904,0.39332373489055455,0.3735101541702195,0.5128034185256297,0.620651868907511,0.9152443609639329,0.00993990242878232,0.03283179004170276,1.0,0.09714608132590663,0.2743145926454033,0.9,0.8825,0.27796245383552315
meta-llama/Llama-3.1-70B-Instruct,70.0,llama3,0.7498731746744118,0.4795954550959989,0.4297102972605584,0.675673023960871,0.44183958741066737,0.9195795795075463,0.012052369740412638,0.03078478802351837,1.0,0.0931841654840417,0.3537866764284428,0.97,0.9519841269841269,0.21984359523210678
Qwen/Qwen2.5-72B-Instruct,72.0,qwen2.5,0.7224694564969704,0.47148110269854443,0.4238907736459393,0.5679113764845953,0.49772663490128916,0.9317884068880303,0.0,0.02597827928544094,1.0,0.08549915645382998,0.3109127598496769,0.9200000000000002,1.0,0.23284402267007925
